INSTANCE,VCPU,RAM,PAY AS YOU GO,PAY AS YOU GO WITH AZURE HYBRID BENEFIT,ONE YEAR RESERVED,ONE YEAR RESERVED WITH AZURE HYBRID BENEFIT,THREE YEAR RESERVED,THREE YEAR RESERVED WITH AZURE HYBRID BENEFIT,SPOT,SPOT WITH AZURE HYBRID BENEFIT,ONE YEAR SAVINGS PLAN,ONE YEAR SAVINGS PLAN WITH AZURE HYBRID BENEFIT,THREE YEAR SAVINGS PLAN,THREE YEAR SAVINGS PLAN WITH AZURE HYBRID BENEFIT,ARCH,CONSTRAINED CPU,PREMIUM STORAGE
E64-32ds v4,64,504,10.2099,6.2298,7.6432,3.6631,6.3225,2.3424,1.021,0.623,8.2002,4.2201,6.8913,2.9112,Intel,32,true
E64-32s v4,64,504,9.4312,5.4511,7.1853,3.2052,6.0297,2.0496,0.9431,0.5451,7.6662,3.686,6.5601,2.58,Intel,32,true
E64-16ads v5,64,512,9.6475,5.6674,7.3239,3.3438,6.1337,2.1536,0.9648,0.5667,7.8289,3.8487,6.6296,2.6495,AMD,16,true
E64-16as v4,64,512,9.4312,5.4511,7.1853,3.2052,6.0297,2.0496,0.9431,0.5451,7.6662,3.686,6.5601,2.58,AMD,16,true
E64-16as v5,64,512,8.8688,4.8887,6.8645,2.8843,5.8378,1.8577,0.8869,0.4889,7.2951,3.315,6.2944,2.3143,AMD,16,true
E64-16ds v5,64,512,10.2099,6.2298,7.6557,3.6756,6.3474,2.3673,1.021,0.623,8.2002,4.2201,6.8913,2.9112,Intel,16,true
E64-16s v5,64,512,9.4312,5.4511,7.1963,3.2161,6.0515,2.0714,0.9431,0.5451,7.6662,3.686,6.5601,2.58,Intel,16,true
E64-32ads v5,64,512,9.6475,5.6674,7.3239,3.3438,6.1337,2.1536,0.9648,0.5667,7.8289,3.8487,6.6296,2.6495,AMD,32,true
E64-32as v4,64,512,9.4312,5.4511,7.1853,3.2052,6.0297,2.0496,0.9431,0.5451,7.6662,3.686,6.5601,2.58,AMD,32,true
E64-32as v5,64,512,8.8688,4.8887,6.8645,2.8843,5.8378,1.8577,0.8869,0.4889,7.2951,3.315,6.2944,2.3143,AMD,32,true
E64-32ds v5,64,512,10.2099,6.2298,7.6557,3.6756,6.3474,2.3673,1.021,0.623,8.2002,4.2201,6.8913,2.9112,Intel,32,true
E64-32s v5,64,512,9.4312,5.4511,7.1963,3.2161,6.0515,2.0714,0.9431,0.5451,7.6662,3.686,6.5601,2.58,Intel,32,true
M64-16ms,64,1750,19.7939,13.9751,12.0164,8.0362,7.8897,3.9095,1.9794,1.3975,13.6216,9.6414,8.87,4.8899,Intel,16,true
M64-32ms,64,1750,19.7939,13.9751,12.0164,8.0362,7.8897,3.9095,1.9794,1.3975,13.6216,9.6414,8.87,4.8899,Intel,32,true
E96-24ads v5,96,672,14.4713,8.5011,10.9859,5.0156,9.2006,3.2304,1.4471,0.8501,11.7433,5.7731,9.9445,3.9742,AMD,24,true
E96-24as v4,96,672,14.1468,8.1766,10.7781,4.8079,9.0446,3.0744,1.4147,0.8177,11.4992,5.529,9.8402,3.87,AMD,24,true
E96-24as v5,96,672,13.3032,7.333,10.2966,4.3264,8.7567,2.7865,1.3303,0.7333,10.9427,4.9725,9.4416,3.4714,AMD,24,true
E96-24ds v5,96,672,15.3149,9.3447,11.4836,5.5134,9.5212,3.551,1.5315,0.9345,12.3003,6.3301,10.337,4.3668,Intel,24,true
E96-24s v5,96,672,14.1468,8.1766,10.7943,4.8241,9.0773,3.1071,1.4147,0.8177,11.4992,5.529,9.8402,3.87,Intel,24,true
E96-48ads v5,96,672,14.4713,8.5011,10.9859,5.0156,9.2006,3.2304,1.4471,0.8501,11.7433,5.7731,9.9445,3.9742,AMD,48,true
E96-48as v4,96,672,14.1468,8.1766,10.7781,4.8079,9.0446,3.0744,1.4147,0.8177,11.4992,5.529,9.8402,3.87,AMD,48,true
E96-48as v5,96,672,13.3032,7.333,10.2966,4.3264,8.7567,2.7865,1.3303,0.7333,10.9427,4.9725,9.4416,3.4714,AMD,48,true
E96-48ds v5,96,672,15.3149,9.3447,11.4836,5.5134,9.5212,3.551,1.5315,0.9345,12.3003,6.3301,10.337,4.3668,Intel,48,true
E96-48s v5,96,672,14.1468,8.1766,10.7943,4.8241,9.0773,3.1071,1.4147,0.8177,11.4992,5.529,9.8402,3.87,Intel,48,true
M128-32ms,128,3800,48.4187,36.0808,28.6533,20.693,18.027,10.0667,4.8419,3.6081,32.8525,24.8922,20.585,12.6247,Intel,32,true
M128-64ms,128,3800,48.4187,36.0808,28.6533,20.693,18.027,10.0667,4.8419,3.6081,32.8525,24.8922,20.585,12.6247,Intel,64,true
L8as v3,8,64,1.3411,0.8436,1.0374,0.5399,0.8518,0.3543,0.1478,0.0844,1.1192,0.6217,0.9241,0.4266,AMD,8,true
L16as v3,16,128,2.6823,1.6872,2.0749,1.0799,1.7037,0.7086,0.2956,0.1687,2.2384,1.2433,1.8483,0.8532,AMD,16,true
L32as v3,32,256,5.3645,3.3745,4.1498,2.1597,3.4074,1.4173,0.5912,0.3374,4.4767,2.4866,3.6965,1.7065,AMD,32,true
L48as v3,48,384,8.0468,5.0617,6.2245,3.2394,5.111,2.1259,0.8868,0.5062,6.7151,3.73,5.5448,2.5597,AMD,48,true
L64as v3,64,512,10.7291,6.7489,8.2994,4.3193,6.8147,2.8346,1.1823,0.6749,8.9534,4.9733,7.3931,3.4129,AMD,64,true
L80as v3,80,640,13.4113,8.4362,10.3743,5.3992,8.5184,3.5432,1.4779,0.8436,11.1918,6.2166,9.2413,4.2662,AMD,80,true
L8s v2,8,64,1.3411,0.8436,1.0349,0.5374,0.8544,0.3569,0.1341,0.0844,1.1192,0.6217,0.9241,0.4266,Intel,8,true
L16s v2,16,128,2.6823,1.6872,2.0698,1.0748,1.7087,0.7137,0.2682,0.1687,2.2384,1.2433,1.8483,0.8532,Intel,16,true
L32s v2,32,256,5.3645,3.3745,4.1396,2.1495,3.4175,1.4274,0.5365,0.3374,4.4767,2.4866,3.6965,1.7065,Intel,32,true
L48s v2,48,384,8.0468,5.0617,6.2094,3.2243,5.126,2.1409,0.8047,0.5062,6.7151,3.73,5.5448,2.5597,Intel,48,true
L64s v2,64,512,10.7291,6.7489,8.2792,4.2991,6.8349,2.8548,1.0729,0.6749,8.9534,4.9733,7.3931,3.4129,Intel,64,true
L80s v2,80,640,13.4113,8.4362,10.349,5.3739,8.5433,3.5682,1.3411,0.8436,11.1918,6.2166,9.2413,4.2662,Intel,80,true
L8s v3,8,64,1.4385,0.941,1.0997,0.6022,0.8927,0.3952,0.1438,0.0941,1.1909,0.6934,0.9734,0.4758,Intel,8,true
L16s v3,16,128,2.8769,1.8819,2.1994,1.2044,1.7854,0.7904,0.2877,0.1882,2.3818,1.3868,1.9467,0.9517,Intel,16,true
L32s v3,32,256,5.7539,3.7638,4.3989,2.4088,3.5709,1.5808,0.5754,0.3764,4.7636,2.7736,3.8934,1.9034,Intel,32,true
L48s v3,48,384,8.6308,5.6457,6.5983,3.6132,5.3563,2.3712,0.8631,0.5646,7.1454,4.1603,5.8402,2.855,Intel,48,true
L64s v3,64,512,11.5078,7.5277,8.7978,4.8176,7.1417,3.1616,1.1508,0.7528,9.5273,5.5471,7.7869,3.8067,Intel,64,true
L80s v3,80,640,14.3847,9.4096,10.9974,6.0222,8.9272,3.952,1.4385,0.941,11.9091,6.9339,9.7336,4.7584,Intel,80,true
NC6,6,56,1.4655,1.2168,N/A,N/A,N/A,N/A,0.1466,0.1217,1.2644,0.8913,1.0207,0.6476,Intel,6,false
