INSTANCE,VCPU,RAM,PAY AS YOU GO,PAY AS YOU GO WITH AZURE HYBRID BENEFIT,ONE YEAR RESERVED,ONE YEAR RESERVED WITH AZURE HYBRID BENEFIT,THREE YEAR RESERVED,THREE YEAR RESERVED WITH AZURE HYBRID BENEFIT,SPOT,SPOT WITH AZURE HYBRID BENEFIT,ONE YEAR SAVINGS PLAN,ONE YEAR SAVINGS PLAN WITH AZURE HYBRID BENEFIT,THREE YEAR SAVINGS PLAN,THREE YEAR SAVINGS PLAN WITH AZURE HYBRID BENEFIT,ARCH,CONSTRAINED CPU,PREMIUM STORAGE
D2as v5,2,8,0.178,0.086,0.1427,0.0507,0.1247,0.0327,0.0178,0.0086,0.1508,0.0588,0.1315,0.0395,AMD,2,true
D4as v5,4,16,0.356,0.172,0.2855,0.1015,0.2494,0.0654,0.0356,0.0172,0.3015,0.1175,0.2629,0.0789,AMD,4,true
D8as v5,8,32,0.712,0.344,0.571,0.203,0.4987,0.1307,0.0712,0.0344,0.603,0.235,0.5258,0.1578,AMD,8,true
D16as v5,16,64,1.424,0.688,1.1419,0.4059,0.9975,0.2615,0.1424,0.0688,1.206,0.47,1.0516,0.3156,AMD,16,true
D32as v5,32,128,2.848,1.376,2.2839,0.8119,1.9949,0.5229,0.2848,0.1376,2.412,0.94,2.1032,0.6312,AMD,32,true
D48as v5,48,192,4.272,2.064,3.4258,1.2178,2.9923,0.7843,0.4272,0.2064,3.6179,1.4099,3.1548,0.9468,AMD,48,true
D64as v5,64,256,5.696,2.752,4.5676,1.6236,3.9898,1.0458,0.5696,0.2752,4.8239,1.8799,4.2063,1.2623,AMD,64,true
D96as v5,96,384,8.544,4.128,6.8515,2.4355,5.9847,1.5687,0.8544,0.4128,7.2358,2.8198,6.3095,1.8935,AMD,96,true
D2ads v5,2,8,0.195,0.103,0.1527,0.0607,0.1312,0.0392,0.0195,0.0103,0.1627,0.0707,0.1391,0.0471,AMD,2,true
D4ads v5,4,16,0.39,0.206,0.3056,0.1216,0.2623,0.0783,0.039,0.0206,0.3253,0.1413,0.2783,0.0943,AMD,4,true
D8ads v5,8,32,0.78,0.412,0.611,0.243,0.5245,0.1565,0.078,0.0412,0.6506,0.2826,0.5566,0.1886,AMD,8,true
D16ads v5,16,64,1.56,0.824,1.2222,0.4862,1.0491,0.3131,0.156,0.0824,1.3013,0.5653,1.1131,0.3771,AMD,16,true
D32ads v5,32,128,3.12,1.648,2.4444,0.9724,2.0983,0.6263,0.312,0.1648,2.6025,1.1305,2.2263,0.7543,AMD,32,true
D48ads v5,48,192,4.68,2.472,3.6665,1.4585,3.1474,0.9394,0.468,0.2472,3.9038,1.6958,3.3394,1.1314,AMD,48,true
D64ads v5,64,256,6.24,3.296,4.8886,1.9446,4.1965,1.2525,0.624,0.3296,5.2051,2.2611,4.4526,1.5086,AMD,64,true
D96ads v5,96,384,9.36,4.944,7.333,2.917,6.2947,1.8787,0.936,0.4944,7.8076,3.3916,6.6789,2.2629,AMD,96,true
D2a v4,2,8,0.188,0.096,0.1484,0.0564,0.1281,0.0361,0.0188,0.0096,0.1578,0.0658,0.1362,0.0442,AMD,2,false
D4a v4,4,16,0.376,0.192,0.2969,0.1129,0.2562,0.0722,0.0376,0.0192,0.3157,0.1317,0.2724,0.0884,AMD,4,false
D8a v4,8,32,0.752,0.384,0.5938,0.2258,0.5124,0.1444,0.0752,0.0384,0.6313,0.2633,0.5447,0.1767,AMD,8,false
D16a v4,16,64,1.504,0.768,1.1876,0.4516,1.0248,0.2888,0.1504,0.0768,1.2626,0.5266,1.0894,0.3534,AMD,16,false
D32a v4,32,128,3.008,1.536,2.3752,0.9032,2.0496,0.5776,0.3008,0.1536,2.5252,1.0532,2.1789,0.7069,AMD,32,false
