INSTANCE,VCPU,RAM,PAY AS YOU GO,PAY AS YOU GO WITH AZURE HYBRID BENEFIT,ONE YEAR RESERVED,ONE YEAR RESERVED WITH AZURE HYBRID BENEFIT,THREE YEAR RESERVED,THREE YEAR RESERVED WITH AZURE HYBRID BENEFIT,SPOT,SPOT WITH AZURE HYBRID BENEFIT,ONE YEAR SAVINGS PLAN,ONE YEAR SAVINGS PLAN WITH AZURE HYBRID BENEFIT,THREE YEAR SAVINGS PLAN,THREE YEAR SAVINGS PLAN WITH AZURE HYBRID BENEFIT,ARCH,CONSTRAINED CPU,PREMIUM STORAGE
DC4s v3,4,32,0.568,0.384,0.4912,0.3072,0.4144,0.2304,0.0568,0.0384,0.5314,0.3474,0.4563,0.2723,Intel,4,true
DC8s v3,8,64,1.136,0.768,0.9824,0.6144,0.8288,0.4608,0.1136,0.0768,1.0628,0.6948,0.9125,0.5445,Intel,8,true
DC16s v3,16,128,2.272,1.536,1.9648,1.2288,1.6576,0.9216,0.2272,0.1536,2.1256,1.3896,1.825,1.089,Intel,16,true
DC24s v3,24,192,3.408,2.304,2.9472,1.8432,2.4864,1.3824,0.3408,0.2304,3.1884,2.0844,2.7375,1.6335,Intel,24,true
DC32s v3,32,256,4.544,3.072,3.9297,2.4577,3.3152,1.8432,0.4544,0.3072,4.2512,2.7792,3.6501,2.1781,Intel,32,true
DC48s v3,48,384,6.816,4.608,5.8944,3.6864,4.9728,2.7648,0.6816,0.4608,6.3769,4.1689,5.4751,3.2671,Intel,48,true
DC1ds v3,1,8,0.159,0.113,0.1364,0.0904,0.1138,0.0678,0.0159,0.0113,0.1478,0.1018,0.1258,0.0798,Intel,1,true
DC2ds v3,2,16,0.318,0.226,0.2728,0.1808,0.2276,0.1356,0.0318,0.0226,0.2956,0.2036,0.2516,0.1596,Intel,2,true
DC4ds v3,4,32,0.636,0.452,0.5456,0.3616,0.4552,0.2712,0.0636,0.0452,0.5911,0.4071,0.5032,0.3192,Intel,4,true
DC8ds v3,8,64,1.272,0.904,1.0912,0.7232,0.9104,0.5424,0.1272,0.0904,1.1822,0.8142,1.0063,0.6383,Intel,8,true
DC16ds v3,16,128,2.544,1.808,2.1824,1.4464,1.8208,1.0848,0.2544,0.1808,2.3645,1.6285,2.0126,1.2766,Intel,16,true
DC24ds v3,24,192,3.816,2.712,3.2736,2.1696,2.7312,1.6272,0.3816,0.2712,3.5467,2.4427,3.0189,1.9149,Intel,24,true
DC32ds v3,32,256,5.088,3.616,4.3648,2.8928,3.6416,2.1696,0.5088,0.3616,4.7289,3.2569,4.0253,2.5533,Intel,32,true
DC48ds v3,48,384,7.632,5.424,6.5472,4.3392,5.4624,3.2544,0.7632,0.5424,7.0934,4.8854,6.0379,3.8299,Intel,48,true
D1 v2,1,3.5,0.117,0.057,0.083,0.037,0.0702,0.0242,0.0211,0.0075,0.0954,0.0494,0.085,0.039,Intel,1,false
D2 v2,2,7,0.234,0.114,0.1661,0.0741,0.1405,0.0485,0.0423,0.015,0.1907,0.0987,0.1699,0.0779,Intel,2,false
D3 v2,4,14,0.468,0.229,0.3322,0.1482,0.281,0.097,0.0845,0.03,0.3823,0.1983,0.3405,0.1565,Intel,4,false
D4 v2,8,28,0.936,0.458,0.6655,0.2975,0.5609,0.1929,0.169,0.0601,0.7647,0.3967,0.681,0.313,Intel,8,false
D5 v2,16,56,1.872,0.916,1.331,0.595,1.1217,0.3857,0.3381,0.1202,1.5294,0.7934,1.3621,0.6261,Intel,16,false
DS1 v2,1,3.5,0.117,0.057,0.083,0.037,0.0702,0.0242,0.0211,0.0075,0.0954,0.0494,0.085,0.039,Intel,1,false
DS2 v2,2,7,0.234,0.114,0.1661,0.0741,0.1405,0.0485,0.0423,0.015,0.1907,0.0987,0.1699,0.0779,Intel,2,false
DS3 v2,4,14,0.468,0.229,0.3322,0.1482,0.281,0.097,0.0845,0.03,0.3823,0.1983,0.3405,0.1565,Intel,4,false
DS4 v2,8,28,0.936,0.458,0.6655,0.2975,0.5609,0.1929,0.169,0.0601,0.7647,0.3967,0.681,0.313,Intel,8,false
DS5 v2,16,56,1.872,0.916,1.331,0.595,1.1217,0.3857,0.3381,0.1202,1.5294,0.7934,1.3621,0.6261,Intel,16,false
F2s v2,2,4,0.163,0.0846,0.142,0.05,0.123,0.031,0.0232,0.0085,0.1573,0.0653,0.1375,0.0455,Intel,2,true
F4s v2,4,8,0.326,0.169,0.284,0.1,0.246,0.062,0.0464,0.0169,0.3144,0.1304,0.2748,0.0908,Intel,4,true
F8s v2,8,16,0.651,0.338,0.568,0.2,0.492,0.124,0.0926,0.0338,0.6288,0.2608,0.5496,0.1816,Intel,8,true
F16s v2,16,32,1.302,0.677,1.1359,0.3999,0.984,0.248,0.1851,0.0677,1.2584,0.5224,1.0997,0.3637,Intel,16,true
F32s v2,32,64,2.604,1.353,2.2718,0.7998,1.968,0.496,0.3703,0.1353,2.516,1.044,2.1988,0.7268,Intel,32,true
F48s v2,48,96,4.24,2.03,3.4103,1.2023,2.9403,0.7323,0.6029,0.203,3.7744,1.5664,3.2985,1.0905,Intel,48,true
F64s v2,64,128,5.209,2.706,4.5435,1.5995,3.9361,0.9921,0.7407,0.2706,5.032,2.088,4.3977,1.4537,Intel,64,true
F72s v2,72,144,5.86,3.045,5.1115,1.7995,4.4281,1.1161,0.8333,0.3045,5.6615,2.3495,4.9478,1.6358,Intel,72,true
F1,1,2,0.0957,0.0497,0.0831,0.0371,0.0693,0.0233,0.0173,0.0065,0.0891,0.0431,0.08,0.034,Intel,1,false
F2,2,4,0.192,0.099,0.1662,0.0742,0.1386,0.0466,0.0347,0.013,0.1777,0.0857,0.1597,0.0677,Intel,2,false
F4,4,8,0.383,0.199,0.3337,0.1497,0.2783,0.0943,0.0692,0.0261,0.3564,0.1724,0.32,0.136,Intel,4,false
F8,8,16,0.766,0.398,0.6653,0.2973,0.5567,0.1887,0.1383,0.0522,0.7127,0.3447,0.64,0.272,Intel,8,false
F16,16,32,1.532,0.796,1.3319,0.5959,1.1134,0.3774,0.2767,0.1044,1.4254,0.6894,1.2801,0.5441,Intel,16,false
F1s,1,2,0.0957,0.0497,0.0831,0.0371,0.0693,0.0233,0.0173,0.0065,0.0891,0.0431,0.08,0.034,Intel,1,true
F2s,2,4,0.192,0.099,0.1662,0.0742,0.1386,0.0466,0.0347,0.013,0.1777,0.0857,0.1597,0.0677,Intel,2,true
F4s,4,8,0.383,0.199,0.3337,0.1497,0.2783,0.0943,0.0692,0.0261,0.3564,0.1724,0.32,0.136,Intel,4,true
F8s,8,16,0.766,0.398,0.6653,0.2973,0.5567,0.1887,0.1383,0.0522,0.7127,0.3447,0.64,0.272,Intel,8,true
F16s,16,32,1.532,0.796,1.3319,0.5959,1.1134,0.3774,0.2767,0.1044,1.4254,0.6894,1.2801,0.5441,Intel,16,true
FX4mds,4,84,0.556,0.372,0.4035,0.2195,0.3179,0.1339,0.0556,0.0372,0.4937,0.3097,0.4135,0.2295,Intel,4,true
FX12mds,12,252,1.668,1.116,1.2105,0.6585,0.9538,0.4018,0.1668,0.1116,1.481,0.929,1.2405,0.6885,Intel,12,true
FX24mds,24,504,3.336,2.232,2.4209,1.3169,1.9075,0.8035,0.3336,0.2232,2.9619,1.8579,2.4809,1.3769,Intel,24,true
FX36mds,36,756,5.004,3.348,3.6313,1.9753,2.8613,1.2053,0.5004,0.3348,4.4429,2.7869,3.7214,2.0654,Intel,36,true
FX48mds,48,1008,6.672,4.464,4.8418,2.6338,3.815,1.607,0.6672,0.4464,5.9238,3.7158,4.9618,2.7538,Intel,48,true
E2as v5,2,16,0.205,0.113,0.1587,0.0667,0.1349,0.0429,0.0205,0.0113,0.1686,0.0766,0.1455,0.0535,AMD,2,true
E4as v5,4,32,0.41,0.226,0.3173,0.1333,0.2699,0.0859,0.041,0.0226,0.3373,0.1533,0.291,0.107,AMD,4,true
E8as v5,8,64,0.82,0.452,0.6347,0.2667,0.5398,0.1718,0.082,0.0452,0.6745,0.3065,0.582,0.214,AMD,8,true
E16as v5,16,128,1.64,0.904,1.2693,0.5333,1.0795,0.3435,0.164,0.0904,1.349,0.613,1.164,0.428,AMD,16,true
E20as v5,20,160,2.05,1.13,1.5867,0.6667,1.3494,0.4294,0.205,0.113,1.6863,0.7663,1.4549,0.5349,AMD,20,true
E32as v5,32,256,3.28,1.808,2.5387,1.0667,2.159,0.687,0.328,0.1808,2.698,1.226,2.3279,0.8559,AMD,32,true
E48as v5,48,384,4.92,2.712,3.8081,1.6001,3.2386,1.0306,0.492,0.2712,4.047,1.839,3.4919,1.2839,AMD,48,true
E64as v5,64,512,6.56,3.616,5.0775,2.1335,4.3181,1.3741,0.656,0.3616,5.396,2.452,4.6558,1.7118,AMD,64,true
E96as v5,96,672,9.84,5.424,7.6161,3.2001,6.4771,2.0611,0.984,0.5424,8.094,3.678,6.9837,2.5677,AMD,96,true
E2ads v5,2,16,0.223,0.131,0.1693,0.0773,0.1418,0.0498,0.0223,0.0131,0.181,0.089,0.1532,0.0612,AMD,2,true
E4ads v5,4,32,0.446,0.262,0.3386,0.1546,0.2835,0.0995,0.0446,0.0262,0.3619,0.1779,0.3065,0.1225,AMD,4,true
E8ads v5,8,64,0.892,0.524,0.6771,0.3091,0.5671,0.1991,0.0892,0.0524,0.7239,0.3559,0.613,0.245,AMD,8,true
E16ads v5,16,128,1.784,1.048,1.3543,0.6183,1.1343,0.3983,0.1784,0.1048,1.4477,0.7117,1.2259,0.4899,AMD,16,true
E20ads v5,20,160,2.23,1.31,1.693,0.773,1.4178,0.4978,0.223,0.131,1.8096,0.8896,1.5324,0.6124,AMD,20,true
E32ads v5,32,256,3.568,2.096,2.7086,1.2366,2.2685,0.7965,0.3568,0.2096,2.8954,1.4234,2.4519,0.9799,AMD,32,true
E48ads v5,48,384,5.352,3.144,4.0629,1.8549,3.4027,1.1947,0.5352,0.3144,4.3431,2.1351,3.6778,1.4698,AMD,48,true
E64ads v5,64,512,7.136,4.192,5.4173,2.4733,4.537,1.593,0.7136,0.4192,5.7908,2.8468,4.9038,1.9598,AMD,64,true
E96ads v5,96,672,10.704,6.288,8.1259,3.7099,6.8054,2.3894,1.0704,0.6288,8.6862,4.2702,7.3556,2.9396,AMD,96,true
E2a v4,2,16,0.218,0.126,0.1661,0.0741,0.1417,0.0497,0.0218,0.0126,0.1772,0.0852,0.1517,0.0597,AMD,2,false
E4a v4,4,32,0.436,0.252,0.3322,0.1482,0.2835,0.0995,0.0436,0.0252,0.3545,0.1705,0.3033,0.1193,AMD,4,false
E8a v4,8,64,0.872,0.504,0.6644,0.2964,0.5669,0.1989,0.0872,0.0504,0.7089,0.3409,0.6066,0.2386,AMD,8,false
E16a v4,16,128,1.744,1.008,1.3287,0.5927,1.1339,0.3979,0.1744,0.1008,1.4178,0.6818,1.2133,0.4773,AMD,16,false
E20a v4,20,160,2.18,1.26,1.6609,0.7409,1.4173,0.4973,0.218,0.126,1.7723,0.8523,1.5166,0.5966,AMD,20,false
E32a v4,32,256,3.488,2.016,2.6574,1.1854,2.2677,0.7957,0.3488,0.2016,2.8356,1.3636,2.4266,0.9546,AMD,32,false
E48a v4,48,384,5.232,3.024,3.9861,1.7781,3.4016,1.1936,0.5232,0.3024,4.2534,2.0454,3.6399,1.4319,AMD,48,false
E64a v4,64,512,6.976,4.032,5.3148,2.3708,4.5355,1.5915,0.6976,0.4032,5.6712,2.7272,4.8532,1.9092,AMD,64,false
E96a v4,96,672,10.464,6.048,7.9722,3.5562,6.8032,2.3872,1.0464,0.6048,8.5069,4.0909,7.2797,2.8637,AMD,96,false
E2as v4,2,16,0.218,0.126,0.1661,0.0741,0.1417,0.0497,0.0218,0.0126,0.1772,0.0852,0.1517,0.0597,AMD,2,true
E4as v4,4,32,0.436,0.252,0.3322,0.1482,0.2835,0.0995,0.0436,0.0252,0.3545,0.1705,0.3033,0.1193,AMD,4,true
E8as v4,8,64,0.872,0.504,0.6644,0.2964,0.5669,0.1989,0.0872,0.0504,0.7089,0.3409,0.6066,0.2386,AMD,8,true
E16as v4,16,128,1.744,1.008,1.3287,0.5927,1.1339,0.3979,0.1744,0.1008,1.4178,0.6818,1.2133,0.4773,AMD,16,true
E20as v4,20,160,2.18,1.26,1.6609,0.7409,1.4173,0.4973,0.218,0.126,1.7723,0.8523,1.5166,0.5966,AMD,20,true
E32as v4,32,256,3.488,2.016,2.6574,1.1854,2.2677,0.7957,0.3488,0.2016,2.8356,1.3636,2.4266,0.9546,AMD,32,true
E48as v4,48,384,5.232,3.024,3.9861,1.7781,3.4016,1.1936,0.5232,0.3024,4.2534,2.0454,3.6399,1.4319,AMD,48,true
E64as v4,64,512,6.976,4.032,5.3148,2.3708,4.5355,1.5915,0.6976,0.4032,5.6712,2.7272,4.8532,1.9092,AMD,64,true
E96as v4,96,672,10.464,6.048,7.9722,3.5562,6.8032,2.3872,1.0464,0.6048,8.5069,4.0909,7.2797,2.8637,AMD,96,true
E2d v5,2,16,0.236,0.144,0.1769,0.0849,0.1467,0.0547,0.0428,0.0144,0.1908,0.0988,0.1609,0.0689,Intel,2,false
E4d v5,4,32,0.472,0.288,0.3539,0.1699,0.2934,0.1094,0.0857,0.0288,0.3816,0.1976,0.3219,0.1379,Intel,4,false
E8d v5,8,64,0.944,0.576,0.7078,0.3398,0.5869,0.2189,0.1713,0.0576,0.7631,0.3951,0.6437,0.2757,Intel,8,false
E16d v5,16,128,1.888,1.152,1.4157,0.6797,1.1738,0.4378,0.3427,0.1152,1.5263,0.7903,1.2875,0.5515,Intel,16,false
E20d v5,20,160,2.36,1.44,1.7695,0.8495,1.4672,0.5472,0.4283,0.144,1.9078,0.9878,1.6093,0.6893,Intel,20,false
E32d v5,32,256,3.776,2.304,2.8314,1.3594,2.3475,0.8755,0.6853,0.2304,3.0525,1.5805,2.5749,1.1029,Intel,32,false
E48d v5,48,384,5.664,3.456,4.247,2.039,3.5213,1.3133,1.028,0.3456,4.5788,2.3708,3.8624,1.6544,Intel,48,false
E64d v5,64,512,7.552,4.608,5.6627,2.7187,4.695,1.751,1.3707,0.4608,6.1051,3.1611,5.1499,2.2059,Intel,64,false
E96d v5,96,672,11.328,6.912,8.4941,4.0781,7.0426,2.6266,2.056,0.6912,9.1576,4.7416,7.7248,3.3088,Intel,96,false
E104id v5,104,672,13.021,8.237,9.6437,4.8597,7.914,3.13,2.3633,0.8237,10.4346,5.6506,8.7271,3.9431,Intel,104,false
E2ds v5,2,16,0.236,0.144,0.1769,0.0849,0.1467,0.0547,0.0428,0.0144,0.1908,0.0988,0.1609,0.0689,Intel,2,true
E4ds v5,4,32,0.472,0.288,0.3539,0.1699,0.2934,0.1094,0.0857,0.0288,0.3816,0.1976,0.3219,0.1379,Intel,4,true
E8ds v5,8,64,0.944,0.576,0.7078,0.3398,0.5869,0.2189,0.1713,0.0576,0.7631,0.3951,0.6437,0.2757,Intel,8,true
E16ds v5,16,128,1.888,1.152,1.4157,0.6797,1.1738,0.4378,0.3427,0.1152,1.5263,0.7903,1.2875,0.5515,Intel,16,true
E20ds v5,20,160,2.36,1.44,1.7695,0.8495,1.4672,0.5472,0.4283,0.144,1.9078,0.9878,1.6093,0.6893,Intel,20,true
E32ds v5,32,256,3.776,2.304,2.8314,1.3594,2.3475,0.8755,0.6853,0.2304,3.0525,1.5805,2.5749,1.1029,Intel,32,true
E48ds v5,48,384,5.664,3.456,4.247,2.039,3.5213,1.3133,1.028,0.3456,4.5788,2.3708,3.8624,1.6544,Intel,48,true
E64ds v5,64,512,7.552,4.608,5.6627,2.7187,4.695,1.751,1.3707,0.4608,6.1051,3.1611,5.1499,2.2059,Intel,64,true
E96ds v5,96,672,11.328,6.912,8.4941,4.0781,7.0426,2.6266,2.056,0.6912,9.1576,4.7416,7.7248,3.3088,Intel,96,true
E104ids v5,104,672,13.021,8.237,9.6437,4.8597,7.914,3.13,2.3633,0.8237,10.4346,5.6506,8.7271,3.9431,Intel,104,true
E2 v5,2,16,0.218,0.126,0.1663,0.0743,0.1399,0.0479,0.0396,0.0126,0.1773,0.0853,0.1517,0.0597,Intel,2,false
E4 v5,4,32,0.436,0.252,0.3326,0.1486,0.2798,0.0958,0.0791,0.0252,0.3546,0.1706,0.3034,0.1194,Intel,4,false
E8 v5,8,64,0.872,0.504,0.6654,0.2974,0.5595,0.1915,0.1583,0.0504,0.7091,0.3411,0.6067,0.2387,Intel,8,false
E16 v5,16,128,1.744,1.008,1.3308,0.5948,1.119,0.383,0.3165,0.1008,1.4182,0.6822,1.2135,0.4775,Intel,16,false
E20 v5,20,160,2.18,1.26,1.6634,0.7434,1.3988,0.4788,0.3957,0.126,1.7728,0.8528,1.5169,0.5969,Intel,20,false
E32 v5,32,256,3.488,2.016,2.6614,1.1894,2.2381,0.7661,0.6331,0.2016,2.8364,1.3644,2.427,0.955,Intel,32,false
E48 v5,48,384,5.232,3.024,3.9921,1.7841,3.3571,1.1491,0.9496,0.3024,4.2546,2.0466,3.6405,1.4325,Intel,48,false
E64 v5,64,512,6.976,4.032,5.3229,2.3789,4.4762,1.5322,1.2661,0.4032,5.6729,2.7289,4.854,1.91,Intel,64,false
E96 v5,96,672,10.464,6.048,7.9843,3.5683,6.7143,2.2983,1.8992,0.6048,8.5093,4.0933,7.2809,2.8649,Intel,96,false
E104i v5,104,672,11.991,7.207,9.0363,4.2523,7.5227,2.7387,2.1764,0.7207,9.6617,4.8777,8.198,3.414,Intel,104,false
E2s v5,2,16,0.218,0.126,0.1663,0.0743,0.1399,0.0479,0.0396,0.0126,0.1773,0.0853,0.1517,0.0597,Intel,2,true
E4s v5,4,32,0.436,0.252,0.3326,0.1486,0.2798,0.0958,0.0791,0.0252,0.3546,0.1706,0.3034,0.1194,Intel,4,true
E8s v5,8,64,0.872,0.504,0.6654,0.2974,0.5595,0.1915,0.1583,0.0504,0.7091,0.3411,0.6067,0.2387,Intel,8,true
E16s v5,16,128,1.744,1.008,1.3308,0.5948,1.119,0.383,0.3165,0.1008,1.4182,0.6822,1.2135,0.4775,Intel,16,true
E20s v5,20,160,2.18,1.26,1.6634,0.7434,1.3988,0.4788,0.3957,0.126,1.7728,0.8528,1.5169,0.5969,Intel,20,true
E32s v5,32,256,3.488,2.016,2.6614,1.1894,2.2381,0.7661,0.6331,0.2016,2.8364,1.3644,2.427,0.955,Intel,32,true
E48s v5,48,384,5.232,3.024,3.9921,1.7841,3.3571,1.1491,0.9496,0.3024,4.2546,2.0466,3.6405,1.4325,Intel,48,true
E64s v5,64,512,6.976,4.032,5.3229,2.3789,4.4762,1.5322,1.2661,0.4032,5.6729,2.7289,4.854,1.91,Intel,64,true
E96s v5,96,672,10.464,6.048,7.9843,3.5683,6.7143,2.2983,1.8992,0.6048,8.5093,4.0933,7.2809,2.8649,Intel,96,true
E104is v5,104,672,11.991,7.207,9.0363,4.2523,7.5227,2.7387,2.1764,0.7207,9.6617,4.8777,8.198,3.414,Intel,104,true
E2bds v5,2,16,0.259,0.167,0.1905,0.0985,0.1555,0.0635,0.047,0.0167,0.2049,0.1129,0.1627,0.0707,Intel,2,true
E4bds v5,4,32,0.518,0.334,0.381,0.197,0.3109,0.1269,0.094,0.0334,0.4099,0.2259,0.3254,0.1414,Intel,4,true
E8bds v5,8,64,1.036,0.668,0.7621,0.3941,0.6218,0.2538,0.188,0.0668,0.8197,0.4517,0.6508,0.2828,Intel,8,true
E16bds v5,16,128,2.072,1.336,1.5242,0.7882,1.2437,0.5077,0.3761,0.1336,1.6394,0.9034,1.3017,0.5657,Intel,16,true
E32bds v5,32,256,4.144,2.672,3.0485,1.5765,2.4874,1.0154,0.7521,0.2672,3.2788,1.8068,2.6033,1.1313,Intel,32,true
E48bds v5,48,384,6.216,4.008,4.5727,2.3647,3.731,1.523,1.1282,0.4008,4.9182,2.7102,3.905,1.697,Intel,48,true
E64bds v5,64,512,8.288,5.344,6.097,3.153,4.9747,2.0307,1.5043,0.5344,6.5576,3.6136,5.2067,2.2627,Intel,64,true
E96bds v5,96,672,12.432,8.016,9.1455,4.7295,7.4621,3.0461,2.2564,0.8016,9.8364,5.4204,7.81,3.394,Intel,96,true
E112ibds v5,112,672,15.439,10.287,11.2214,6.0694,9.0611,3.9091,2.8022,1.0287,12.1081,6.9561,9.5075,4.3555,Intel,112,true
E2bs v5,2,16,0.241,0.149,0.1799,0.0879,0.1442,0.0522,0.0437,0.0149,0.1928,0.1008,0.1551,0.0631,Intel,2,true
E4bs v5,4,32,0.482,0.298,0.3598,0.1758,0.2883,0.1043,0.0875,0.0298,0.3855,0.2015,0.3102,0.1262,Intel,4,true
E8bs v5,8,64,0.964,0.596,0.7196,0.3516,0.5766,0.2086,0.175,0.0596,0.771,0.403,0.6204,0.2524,Intel,8,true
E16bs v5,16,128,1.928,1.192,1.4393,0.7033,1.1532,0.4172,0.3499,0.1192,1.542,0.806,1.2407,0.5047,Intel,16,true
E32bs v5,32,256,3.856,2.384,2.8785,1.4065,2.3064,0.8344,0.6999,0.2384,3.0841,1.6121,2.4814,1.0094,Intel,32,true
E48bs v5,48,384,5.784,3.576,4.3178,2.1098,3.4596,1.2516,1.0498,0.3576,4.6261,2.4181,3.7221,1.5141,Intel,48,true
E64bs v5,64,512,7.712,4.768,5.7571,2.8131,4.6128,1.6688,1.3997,0.4768,6.1681,3.2241,4.9628,2.0188,Intel,64,true
E96bs v5,96,672,11.568,7.152,8.6356,4.2196,6.9192,2.5032,2.0996,0.7152,9.2522,4.8362,7.4442,3.0282,Intel,96,true
E112ibs v5,112,672,14.33,9.178,10.5673,5.4153,8.3644,3.2124,2.6009,0.9178,11.3582,6.2062,9.038,3.886,Intel,112,true
E2d v4,2,16,0.236,0.144,0.1769,0.0849,0.1467,0.0547,0.0336,0.0144,0.1908,0.0988,0.1609,0.0689,Intel,2,false
E4d v4,4,32,0.472,0.288,0.3539,0.1699,0.2934,0.1094,0.0671,0.0288,0.3816,0.1976,0.3219,0.1379,Intel,4,false
E8d v4,8,64,0.944,0.576,0.7078,0.3398,0.5869,0.2189,0.1342,0.0576,0.7631,0.3951,0.6437,0.2757,Intel,8,false
E16d v4,16,128,1.888,1.152,1.4157,0.6797,1.1738,0.4378,0.2685,0.1152,1.5263,0.7903,1.2875,0.5515,Intel,16,false
E20d v4,20,160,2.36,1.44,1.7695,0.8495,1.4672,0.5472,0.3356,0.144,1.9078,0.9878,1.6093,0.6893,Intel,20,false
E32d v4,32,256,3.776,2.304,2.8314,1.3594,2.3475,0.8755,0.5369,0.2304,3.0525,1.5805,2.5749,1.1029,Intel,32,false
E48d v4,48,384,5.664,3.456,4.247,2.039,3.5213,1.3133,0.8054,0.3456,4.5788,2.3708,3.8624,1.6544,Intel,48,false
E64d v4,64,504,7.552,4.608,5.6627,2.7187,4.695,1.751,1.0739,0.4608,6.1051,3.1611,5.1499,2.2059,Intel,64,false
E2ds v4,2,16,0.236,0.144,0.1769,0.0849,0.1467,0.0547,0.0336,0.0144,0.1908,0.0988,0.1609,0.0689,Intel,2,true
E4ds v4,4,32,0.472,0.288,0.3539,0.1699,0.2934,0.1094,0.0671,0.0288,0.3816,0.1976,0.3219,0.1379,Intel,4,true
E8ds v4,8,64,0.944,0.576,0.7078,0.3398,0.5869,0.2189,0.1342,0.0576,0.7631,0.3951,0.6437,0.2757,Intel,8,true
E16ds v4,16,128,1.888,1.152,1.4157,0.6797,1.1738,0.4378,0.2685,0.1152,1.5263,0.7903,1.2875,0.5515,Intel,16,true
E20ds v4,20,160,2.36,1.44,1.7695,0.8495,1.4672,0.5472,0.3356,0.144,1.9078,0.9878,1.6093,0.6893,Intel,20,true
E32ds v4,32,256,3.776,2.304,2.8314,1.3594,2.3475,0.8755,0.5369,0.2304,3.0525,1.5805,2.5749,1.1029,Intel,32,true
E48ds v4,48,384,5.664,3.456,4.247,2.039,3.5213,1.3133,0.8054,0.3456,4.5788,2.3708,3.8624,1.6544,Intel,48,true
E64ds v4,64,504,7.552,4.608,5.6627,2.7187,4.695,1.751,1.0739,0.4608,6.1051,3.1611,5.1499,2.2059,Intel,64,true
E80ids v4,80,504,9.44,5.76,7.0784,3.3984,5.8688,2.1888,1.3424,0.576,7.6314,3.9514,6.4373,2.7573,Intel,80,true
EC2ads v5,2,16,0.223,0.131,0.1968,0.1048,0.1706,0.0786,0.0898,0.0528,0.2025,0.1105,0.178,0.086,AMD,2,true
EC4ads v5,4,32,0.446,0.262,0.3936,0.2096,0.3412,0.1572,0.1796,0.1055,0.405,0.221,0.356,0.172,AMD,4,true
EC8ads v5,8,64,0.892,0.524,0.7872,0.4192,0.6824,0.3144,0.3592,0.211,0.81,0.442,0.712,0.344,AMD,8,true
EC16ads v5,16,128,1.784,1.048,1.5744,0.8384,1.3648,0.6288,0.7184,0.4219,1.62,0.884,1.424,0.688,AMD,16,true
EC20ads v5,20,160,2.23,1.31,1.968,1.048,1.706,0.786,0.898,0.5274,2.025,1.105,1.78,0.86,AMD,20,true
EC32ads v5,32,192,3.568,2.096,3.1488,1.6768,2.7296,1.2576,1.4368,0.8439,3.24,1.768,2.848,1.376,AMD,32,true
EC48ads v5,48,384,5.352,3.144,4.7232,2.5152,4.0944,1.8864,2.1547,1.2658,4.86,2.652,4.272,2.064,AMD,48,true
EC64ads v5,64,512,7.136,4.192,6.2977,3.3537,5.4592,2.5152,2.8737,1.6877,6.48,3.536,5.6961,2.7521,AMD,64,true
EC96ads v5,96,672,10.704,6.288,9.4464,5.0304,8.1888,3.7728,4.3094,2.5315,9.7199,5.3039,8.5441,4.1281,AMD,96,true
EC96iads v5,96,672,11.333,6.917,9.9495,5.5335,8.5661,4.1501,4.5627,2.7848,10.2505,5.8345,8.957,4.541,AMD,96,true
EC2as v5,2,16,0.205,0.113,0.1824,0.0904,0.1598,0.0678,0.0825,0.0455,0.1873,0.0953,0.1666,0.0746,AMD,2,true
EC4as v5,4,32,0.41,0.226,0.3648,0.1808,0.3196,0.1356,0.1651,0.091,0.3745,0.1905,0.3332,0.1492,AMD,4,true
EC8as v5,8,64,0.82,0.452,0.7296,0.3616,0.6392,0.2712,0.3302,0.182,0.749,0.381,0.6665,0.2985,AMD,8,true
EC16as v5,16,128,1.64,0.904,1.4592,0.7232,1.2784,0.5424,0.6604,0.364,1.4981,0.7621,1.3329,0.5969,AMD,16,true
EC20as v5,20,160,2.05,1.13,1.824,0.904,1.598,0.678,0.8255,0.4551,1.8726,0.9526,1.6661,0.7461,AMD,20,true
EC32as v5,32,192,3.28,1.808,2.9184,1.4464,2.5568,1.0848,1.3209,0.7279,2.9961,1.5241,2.6658,1.1938,AMD,32,true
EC48as v5,48,384,4.92,2.712,4.3776,2.1696,3.8352,1.6272,1.9808,1.0919,4.4942,2.2862,3.9987,1.7907,AMD,48,true
EC64as v5,64,512,6.56,3.616,5.8368,2.8928,5.1136,2.1696,2.6417,1.4558,5.9923,3.0483,5.3316,2.3876,AMD,64,true
EC96as v5,96,672,9.84,5.424,8.7552,4.3392,7.6704,3.2544,3.9616,2.1837,8.9884,4.5724,7.9975,3.5815,AMD,96,true
EC96ias v5,96,672,10.382,5.966,9.1892,4.7732,7.9958,3.5798,4.1808,2.4025,9.4453,5.0293,8.3554,3.9394,AMD,96,true
E2 v4,2,16,0.218,0.126,0.1663,0.0743,0.1399,0.0479,0.031,0.0126,0.1773,0.0853,0.1517,0.0597,Intel,2,false
E4 v4,4,32,0.436,0.252,0.3326,0.1486,0.2798,0.0958,0.062,0.0252,0.3546,0.1706,0.3034,0.1194,Intel,4,false
E8 v4,8,64,0.872,0.504,0.6654,0.2974,0.5595,0.1915,0.124,0.0504,0.7091,0.3411,0.6067,0.2387,Intel,8,false
